realm,cluster,n_taxa,n_edge,mean_edge,n_lc,n_nt,n_vu,n_en,n_cr,n_hydro,area_km2,bio1_mean,bio1_median,bio1_sd,bio1_min,bio1_max,bio4_mean,bio4_median,bio4_sd,bio4_min,bio4_max,bio12_mean,bio12_median,bio12_sd,bio12_min,bio12_max,end_per,end_km2,No_end_km2,neoend_per,neoend_km2,paleoend_per,paleoend_km2,mixedend_per,mixedend_km2,superend_per,superend_km2
ASIA,25,22,15,3.444671139,4,1,1,5,9,56,465982.9,231.2643052,245,45.34403406,-1,276,3437.923706,3603.5,1259.899999,949,7555,1736.581744,1659,891.4809409,129,5097,0.175276389,81675.8,384307.1,0,0,0,0,0.175276389,81675.8,0,0
ASIA,26,33,24,3.346762855,3,2,6,12,9,388,3294378.8,236.542632,254,57.95083022,-71,292,4693.106058,4546,1901.928333,491,9927,1197.322446,1043,842.5440222,88,7449,0.062138149,204706.6,3089672.2,0.01988639,65513.3,0,0,0.042251759,139193.3,0,0
ASIA,27,13,9,3.399707656,1,1,2,5,3,3,37782,180.147541,193,60.1505923,-8,257,3750.52459,2863,1183.320662,2580,6115,2169.729508,2282.5,842.800615,297,4340,0,0,37782,0,0,0,0,0,0,0,0
ASIA,28,16,11,3.29467067,2,1,3,5,5,57,640300.3,261.510284,262,8.59355763,224,278,4940.386386,4888.5,1144.679032,2331,7416,659.6718903,634,330.3811379,110,1558,0,0,640300.3,0,0,0,0,0,0,0,0
ASIA,29,7,4,3.239025597,1,1,1,3,0,262,2415818,102.5114146,108,52.66191523,-87,274,10637.83817,10728,1706.039491,5570,14808,260.3312353,214,168.0430235,86,1152,0,0,68974.8,0,0,0,0,0,0,0,0
ASIA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4339.1,0,0,0,0,0,0,0,1,4339.1
PALE,31,10,4,3.069124858,3,2,3,0,0,787,6290910.6,85.21316649,81,34.51215593,-40,187,9120.500349,8605,2638.248236,2967,14686,559.671168,564,249.7479915,111,2092,0.023462533,147600.7,6143309.9,0,0,0,0,0.01927829,121278,0.004184243,26322.7
AUST,32,27,8,3.03641963,11,5,1,5,2,537,4266641.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242744305,1035703,3230938.8,0,0,0.001635338,6977.4,0.219021878,934487.9,0.02208709,94237.7
AUST,33,15,3,2.954794801,5,3,4,1,0,92,855771.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873419307,747447.7,108324.2,0.062088624,53133.7,0.029507629,25251.8,0.522583763,447212.5,0.25923929,221849.7
AUST,34,2,2,3.752575511,0,1,0,0,1,19,145808,164.2934132,161,13.27447688,146,202,4112.602794,4047,692.1674883,2608,5647,606.0419162,530,222.2352363,318,1188,1,145808,0,0,0,0,0,0.93204008,135898.9,0.06795992,9909.1
