taxon,Order,Family,genus,clade,IUCN,TFTSG,Threat,Threat_Code,EDGE_scores,edge_species,TACT-addition
pangshura tentoria,Testudines,Geoemydidae,Pangshura,Pangshura_clade,Least Concern,,Least Concern,LC,2.523271734,,
cyclemys fusca,Testudines,Geoemydidae,Cyclemys,Cyclemys_clade,Least Concern,,Least Concern,LC,2.508513495,,
chelodina pritchardi,Testudines,Chelidae,Chelodina,Chelodina_clade,Vulnerable,,Vulnerable,VU,2.50330112,,
elseya dentata,Testudines,Chelidae,Elseya,Elseya_elseya_clade,Not Evaluated,Least Concern,Least Concern,LC,2.501068942,,
actinemys marmorata,Testudines,Emydidae,Actinemys,Actinemys_clade,Vulnerable,,Vulnerable,VU,2.496960998,,X
actinemys pallida,Testudines,Emydidae,Actinemys,Actinemys_clade,Not Evaluated,Vulnerable,Vulnerable,VU,2.496960998,,X
terrapene yucatana,Testudines,Emydidae,Terrapene,Terrapene_clade,Not Evaluated,Vulnerable,Vulnerable,VU,2.494499937,,X
rhinoclemmys punctularia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_clade,Not Evaluated,Least Concern,Least Concern,LC,2.492946484,,
rhinoclemmys areolata,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_clade,Near Threatened,,Near Threatened,NT,2.49078534,,
rhinoclemmys nasuta,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys_clade,Near Threatened,,Near Threatened,NT,2.49078534,,X
cyclemys enigmatica,Testudines,Geoemydidae,Cyclemys,Cyclemys_indonesia_clade,Near Threatened,,Near Threatened,NT,2.489724204,,X
kinosternon sonoriense,Testudines,Kinosternidae,Kinosternon,Kinosternon_sonora_clade,Near Threatened,,Near Threatened,NT,2.485915915,,
kinosternon abaxillare,Testudines,Kinosternidae,Kinosternon,Kinosternon_scorpoides_clade,Vulnerable,,Vulnerable,VU,2.473757863,,X
chelodina canni,Testudines,Chelidae,Chelodina,Chelodina_clade,Not Evaluated,Near Threatened,Near Threatened,NT,2.468143143,,
kinixys belliana,Testudines,Testudinidae,Kinixys,Kinixys_clade,Not Evaluated,Vulnerable,Vulnerable,VU,2.458892406,,
kinosternon angustipons,Testudines,Kinosternidae,Kinosternon,Kinosternon_crypto_clade,Vulnerable,,Vulnerable,VU,2.451701519,,X
elseya flaviventralis,Testudines,Chelidae,Elseya,Elseya_elseya_clade,Not Evaluated,Least Concern,Least Concern,LC,2.445597207,,X
chelodina reimanni,Testudines,Chelidae,Chelodina,Chelodina_clade,Near Threatened,,Near Threatened,NT,2.440917873,,
graptemys pseudogeographica,Testudines,Emydidae,Graptemys,Graptemys_clade,Least Concern,,Least Concern,LC,2.422054747,,
kinosternon creaseri,Testudines,Kinosternidae,Kinosternon,Kinosternon_crypto_clade,Least Concern,,Least Concern,LC,2.41286188,,
terrapene ornata,Testudines,Emydidae,Terrapene,Terrapene_clade,Near Threatened,,Near Threatened,NT,2.409661706,,
kinosternon hirtipes,Testudines,Kinosternidae,Kinosternon,Kinosternon_sonora_clade,Least Concern,,Least Concern,LC,2.405136292,,
chelodina novaeguineae,Testudines,Chelidae,Chelodina,Chelodina_clade,Least Concern,,Least Concern,LC,2.38195152,,
kinosternon alamosae,Testudines,Kinosternidae,Kinosternon,Kinosternon_sonora_clade,Data Deficient,Least Concern,Least Concern,LC,2.360382992,,X
kinosternon oaxacae,Testudines,Kinosternidae,Kinosternon,Kinosternon_sonora_clade,Data Deficient,Least Concern,Least Concern,LC,2.360382992,,
chelonoidis guntheri,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.343554722,,X
terrapene mexicana,Testudines,Emydidae,Terrapene,Terrapene_clade,Not Evaluated,Least Concern,Least Concern,LC,2.341551602,,X
chelonoidis porteri,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.340272405,,
chelonoidis phantastica,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.32552382,,X
pseudemys rubriventris,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Near Threatened,,Near Threatened,NT,2.320907592,,
graptemys gibbonsi,Testudines,Emydidae,Graptemys,Graptemys_clade,Endangered,,Endangered,EN,2.313460045,,
trachemys callirostris,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Vulnerable,Vulnerable,VU,2.306960983,,
kinixys lobatsiana,Testudines,Testudinidae,Kinixys,Kinixys_clade,Vulnerable,,Vulnerable,VU,2.270273586,,X
kinixys nogueyi,Testudines,Testudinidae,Kinixys,Kinixys_clade,Not Evaluated,Vulnerable,Vulnerable,VU,2.270273586,,X
pseudemys concinna,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Least Concern,,Least Concern,LC,2.261077307,,
pseudemys floridana,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Least Concern,,Least Concern,LC,2.252724047,,
trachemys dorbigni,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Least Concern,Least Concern,LC,2.242111643,,
trachemys ornata,Testudines,Emydidae,Trachemys,Trachemys_clade,Vulnerable,,Vulnerable,VU,2.23176864,,X
chelonoidis hoodensis,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.225938299,,
chelonoidis darwini,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.222561026,,X
chelonoidis donfaustoi,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Critically Endangered,,Critically Endangered,CR,2.211461304,,X
graptemys nigrinoda,Testudines,Emydidae,Graptemys,Graptemys_clade,Least Concern,,Least Concern,LC,2.18719821,,
graptemys versa,Testudines,Emydidae,Graptemys,Graptemys_clade,Least Concern,,Least Concern,LC,2.18719821,,
trachemys decussata,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Least Concern,Least Concern,LC,2.16314707,,
graptemys pulchra,Testudines,Emydidae,Graptemys,Graptemys_clade,Near Threatened,,Near Threatened,NT,2.138543984,,
graptemys ouachitensis,Testudines,Emydidae,Graptemys,Graptemys_ouachitensis_clade,Least Concern,,Least Concern,LC,2.137540968,,
pseudemys gorzugi,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Near Threatened,,Near Threatened,NT,2.127341634,,
pseudemys nelsoni,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Least Concern,,Least Concern,LC,2.125456013,,
pseudemys peninsularis,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Least Concern,,Least Concern,LC,2.125456013,,
pseudemys texana,Testudines,Emydidae,Pseudemys,Pseudemys_clade,Least Concern,,Least Concern,LC,2.12110331,,
trachemys terrapen,Testudines,Emydidae,Trachemys,Trachemys_clade,Vulnerable,,Vulnerable,VU,2.099299311,,
chelonoidis chathamensis,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Endangered,,Endangered,EN,2.065009734,,
trachemys decorata,Testudines,Emydidae,Trachemys,Trachemys_clade,Vulnerable,,Vulnerable,VU,2.048444328,,
trachemys scripta,Testudines,Emydidae,Trachemys,Trachemys_clade,Least Concern,,Least Concern,LC,2.03067774,,X
trachemys yaquia,Testudines,Emydidae,Trachemys,Trachemys_clade,Vulnerable,,Vulnerable,VU,2.022964236,,X
chelonoidis microphyes,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Endangered,,Endangered,EN,1.997892877,,X
chelonoidis vicina,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Endangered,,Endangered,EN,1.983415882,,X
trachemys medemi,Testudines,Emydidae,Trachemys,Trachemys_clade,Not Evaluated,Vulnerable,Vulnerable,VU,1.974546389,,X
graptemys flavimaculata,Testudines,Emydidae,Graptemys,Graptemys_clade,Vulnerable,,Vulnerable,VU,1.93311193,,
graptemys oculifera,Testudines,Emydidae,Graptemys,Graptemys_clade,Vulnerable,,Vulnerable,VU,1.93311193,,
trachemys stejnegeri,Testudines,Emydidae,Trachemys,Trachemys_clade,Near Threatened,,Near Threatened,NT,1.912163143,,
graptemys ernsti,Testudines,Emydidae,Graptemys,Graptemys_clade,Near Threatened,,Near Threatened,NT,1.879823428,,
graptemys sabinensis,Testudines,Emydidae,Graptemys,Graptemys_ouachitensis_clade,Not Evaluated,Least Concern,Least Concern,LC,1.849744581,,X
chelonoidis vandenburghi,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Vulnerable,,Vulnerable,VU,1.720415407,,X
chelonoidis duncanensis,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Vulnerable,,Vulnerable,VU,1.702384504,,X
chelonoidis becki,Testudines,Testudinidae,Chelonoidis,Chelonoidis_niger_complex_clade,Vulnerable,,Vulnerable,VU,1.638265121,,X
